author_id,author_name,author_name_kana,birth_year,death_year,notes
AUTR-000236,山口瞳,,,,
AUTR-000237,佐藤得二,,,,
AUTR-000238,和田芳恵,,,,
AUTR-000239,安藤鶴夫,,,,
AUTR-000240,永井路子,,,,
AUTR-000241,安西篤子,,,,
AUTR-000242,藤井重夫,,,,
AUTR-000243,千葉治平,,,,
AUTR-000244,新橋遊吉,,,,
AUTR-000245,立原正秋,,,,
AUTR-000246,五木寛之,,,,
AUTR-000247,生島治郎,,,,
AUTR-000248,野坂昭如,,,,
AUTR-000249,三好徹,,,,
AUTR-000250,陳舜臣,,,,
AUTR-000251,早乙女貢,,,,
AUTR-000252,佐藤愛子,,,,
AUTR-000253,結城昌治,,,,
AUTR-000254,渡辺淳一,,,,
AUTR-000255,豊田穣,,,,
AUTR-000256,綱淵謙錠,,,,
AUTR-000257,井上ひさし,,,,
AUTR-000258,藤沢周平,,,,
AUTR-000259,長部日出雄,,,,
AUTR-000260,藤本義一,,,,
AUTR-000261,井出孫六,,,,
AUTR-000262,半村良,,,,
AUTR-000263,佐木隆三,,,,
AUTR-000264,三好京三,,,,
AUTR-000265,津本陽,,,,
AUTR-000266,色川武大,,,,
AUTR-000267,宮尾登美子,,,,
AUTR-000268,有明夏夫,,,,
AUTR-000269,田中小実昌,,,,
AUTR-000270,阿刀田高,,,,
AUTR-000271,向田邦子,,,,
AUTR-000272,志茂田景樹,,,,
AUTR-000273,中村正軌,,,,
AUTR-000274,青島幸男,,,,
AUTR-000275,光岡明,,,,
AUTR-000276,つかこうへい,,,,
AUTR-000277,深田祐介,,,,
AUTR-000278,村松友視,,,,
AUTR-000279,胡桃沢耕史,,,,
AUTR-000280,神吉拓郎,,,,
AUTR-000281,高橋治,,,,
AUTR-000282,難波利三,,,,
AUTR-000283,連城三紀彦,,,,
AUTR-000284,山口洋子,,,,
AUTR-000285,森田誠吾,,,,
AUTR-000286,林真理子,,,,
AUTR-000287,皆川博子,,,,
AUTR-000288,常盤新平,,,,
AUTR-000289,逢坂剛,,,,
AUTR-000290,白石一郎,,,,
AUTR-000291,山田詠美,,,,
AUTR-000292,阿部牧郎,,,,
AUTR-000293,西木正明,,,,
AUTR-000294,景山民夫,,,,
AUTR-000295,藤堂志津子,,,,
AUTR-000296,杉本章子,,,,
AUTR-000297,ねじめ正一,,,,
AUTR-000298,笹倉明,,,,
AUTR-000299,星川清司,,,,
AUTR-000300,原尞,,,,
AUTR-000301,泡坂妻夫,,,,
AUTR-000302,古川薫,,,,
AUTR-000303,宮城谷昌光,,,,
AUTR-000304,芦原すなお,,,,
AUTR-000305,高橋義夫,,,,
AUTR-000306,高橋克彦,,,,
AUTR-000307,伊集院静,,,,
AUTR-000308,出久根達郎,,,,
AUTR-000309,北原亞以子,,,,
AUTR-000310,高村薫,,,,
AUTR-000311,佐藤雅美,,,,
AUTR-000312,大沢在昌,,,,
AUTR-000313,中村彰彦,,,,
AUTR-000314,海老沢泰久,,,,
AUTR-000315,赤瀬川隼,,,,
AUTR-000316,藤原伊織,,,,
AUTR-000317,小池真理子,,,,
AUTR-000318,乃南アサ,,,,
AUTR-000319,坂東眞砂子,,,,
AUTR-000320,浅田次郎,,,,
AUTR-000321,篠田節子,,,,
AUTR-000322,車谷長吉,,,,
AUTR-000323,宮部みゆき,,,,
AUTR-000324,桐野夏生,,,,
AUTR-000325,佐藤賢一,,,,
AUTR-000326,なかにし礼,,,,
AUTR-000327,船戸与一,,,,
AUTR-000328,金城一紀,,,,
AUTR-000329,山本文緒,,,,
AUTR-000330,重松清,,,,
AUTR-000331,藤田宜永,,,,
AUTR-000332,唯川恵,,,,
AUTR-000333,山本一力,,,,
AUTR-000334,乙川優三郎,,,,
AUTR-000335,村山由佳,,,,
AUTR-000336,石田衣良,,,,
AUTR-000337,京極夏彦,,,,
AUTR-000338,江國香織,,,,
AUTR-000339,熊谷達也,,,,
AUTR-000340,奥田英朗,,,,
AUTR-000341,角田光代,,,,
AUTR-000342,朱川湊人,,,,
AUTR-000343,東野圭吾,,,,
AUTR-000344,森絵都,,,,
AUTR-000345,三浦しをん,,,,
AUTR-000346,松井今朝子,,,,
AUTR-000347,桜庭一樹,,,,
AUTR-000348,井上荒野,,,,
AUTR-000349,山本兼一,,,,
AUTR-000350,天童荒太,,,,
AUTR-000351,北村薫,,,,
AUTR-000352,佐々木譲,,,,
AUTR-000353,白石一文,,,,
AUTR-000354,中島京子,,,,
AUTR-000355,道尾秀介,,,,
AUTR-000356,木内昇,,,,
AUTR-000357,池井戸潤,,,,
AUTR-000358,葉室麟,,,,
AUTR-000359,辻村深月,,,,
AUTR-000360,安部龍太郎,,,,
AUTR-000361,朝井リョウ,,,,
AUTR-000362,桜木紫乃,,,,
AUTR-000363,姫野カオルコ,,,,
AUTR-000364,朝井まかて,,,,
AUTR-000365,黒川博行,,,,
AUTR-000366,西加奈子,,,,
AUTR-000367,東山彰良,,,,
AUTR-000368,青山文平,,,,
AUTR-000369,荻原浩,,,,
AUTR-000370,恩田陸,,,,
AUTR-000371,佐藤正午,,,,
AUTR-000372,門井慶喜,,,,
AUTR-000373,島本理生,,,,
AUTR-000374,真藤順丈,,,,
AUTR-000375,大島真寿美,,,,
AUTR-000376,川越宗一,,,,
AUTR-000377,馳星周,,,,
AUTR-000378,西條奈加,,,,
AUTR-000379,佐藤究,,,,
AUTR-000380,澤田瞳子,,,,
AUTR-000381,今村翔吾,,,,
AUTR-000382,米澤穂信,,,,
AUTR-000383,窪美澄,,,,
AUTR-000384,小川哲,,,,
AUTR-000385,千早茜,,,,
AUTR-000386,垣根涼介,,,,
AUTR-000387,永井紗耶子,,,,
AUTR-000388,河﨑秋子,,,,
AUTR-000389,万城目学,,,,
AUTR-000390,一穂ミチ,,,,
AUTR-000391,伊与原新,,,,
AUTR-000392,嶋津輝,,,,
AUTR-000393,松永K,,,,
AUTR-000394,鳥山まこと,,,,
AUTR-000395,畠山丑雄,,,,
AUTR-000396,リリー・フランキー,,,,
AUTR-000397,佐藤多佳子,,,,
AUTR-000398,伊坂幸太郎,,,,
AUTR-000399,湊かなえ,,,,
AUTR-000400,冲方丁,,,,
AUTR-000401,東川篤哉,,,,
AUTR-000402,百田尚樹,,,,
AUTR-000403,和田竜,,,,
AUTR-000404,上橋菜穂子,,,,
AUTR-000405,宮下奈都,,,,
AUTR-000406,瀬尾まいこ,,,,
AUTR-000407,凪良ゆう,,,,
AUTR-000408,町田そのこ,,,,
AUTR-000409,逢坂冬馬,,,,
AUTR-000410,宮島未奈,,,,
AUTR-000411,阿部暁子,,,,
AUTR-000412,中島河太郎,,,,
AUTR-000413,早川書房,,,,
AUTR-000414,仁木悦子,,,,
AUTR-000415,新章文子,,,,
AUTR-000416,戸川昌子,,,,
AUTR-000417,佐賀潜,,,,
AUTR-000418,藤村正太,,,,
AUTR-000419,西東登,,,,
AUTR-000420,西村京太郎,,,,
AUTR-000421,斎藤栄,,,,
AUTR-000422,海渡英祐,,,,
AUTR-000423,森村誠一,,,,
AUTR-000424,大谷羊太郎,,,,
AUTR-000425,和久峻三,,,,
AUTR-000426,小峰元,,,,
AUTR-000427,小林久三,,,,
AUTR-000428,日下圭介,,,,
AUTR-000429,伴野朗,,,,
AUTR-000430,藤本泉,,,,
AUTR-000431,梶龍雄,,,,
AUTR-000432,栗本薫,,,,
AUTR-000433,高柳芳夫,,,,
AUTR-000434,井沢元彦,,,,
AUTR-000435,長井彬,,,,
AUTR-000436,岡嶋二人,,,,
AUTR-000437,中津文彦,,,,
AUTR-000438,鳥井加南子,,,,
AUTR-000439,森雅裕,,,,
AUTR-000440,山崎洋子,,,,
AUTR-000441,石井敏弘,,,,
AUTR-000442,坂本光一,,,,
AUTR-000443,長坂秀佳,,,,
AUTR-000444,鳥羽亮,,,,
AUTR-000445,阿部陽一,,,,
AUTR-000446,鳴海章,,,,
AUTR-000447,真保裕一,,,,
AUTR-000448,川田弥一郎,,,,
AUTR-000449,中嶋博行,,,,
AUTR-000450,渡辺容子,,,,
AUTR-000451,野沢尚,,,,
AUTR-000452,福井晴敏,,,,
AUTR-000453,新野剛志,,,,
AUTR-000454,首藤瓜於,,,,
AUTR-000455,高野和明,,,,
AUTR-000456,三浦明博,,,,
AUTR-000457,不知火京介,,,,
AUTR-000458,赤井三尋,,,,
AUTR-000459,神山裕右,,,,
AUTR-000460,薬丸岳,,,,
AUTR-000461,鏑木蓮,,,,
AUTR-000462,早瀬乱,,,,
AUTR-000463,曽根圭介,,,,
AUTR-000464,翔田寛,,,,
AUTR-000465,末浦広海,,,,
AUTR-000466,遠藤武文,,,,
AUTR-000467,横関大,,,,
AUTR-000468,川瀬七緒,,,,
AUTR-000469,玖村まゆみ,,,,
AUTR-000470,高野史緒,,,,
AUTR-000471,竹吉優輔,,,,
AUTR-000472,下村敦史,,,,
AUTR-000473,呉勝浩,,,,
AUTR-000474,斉藤詠一,,,,
AUTR-000475,神護かずみ,,,,
AUTR-000476,佐野広実,,,,
AUTR-000477,伏尾美紀,,,,
AUTR-000478,桃野雑派,,,,
AUTR-000479,荒木あかね,,,,
AUTR-000480,三上幸四郎,,,,
AUTR-000481,霜月流,,,,
AUTR-000482,日野瑛太郎,,,,
AUTR-000483,野宮有,,,,
AUTR-000484,箕輪尊文,,,,
