author_id,author,work_count,award_count,awards
AUTR-000160,本谷有希子,1,1,AKU
AUTR-000161,滝口悠生,1,1,AKU
AUTR-000162,村田沙耶香,1,1,AKU
AUTR-000163,山下澄人,1,1,AKU
AUTR-000164,沼田真佑,1,1,AKU
AUTR-000165,石井遊佳,1,1,AKU
AUTR-000166,若竹千佐子,1,1,AKU
AUTR-000167,高橋弘希,1,1,AKU
AUTR-000168,上田岳弘,1,1,AKU
AUTR-000169,町屋良平,1,1,AKU
AUTR-000170,今村夏子,1,1,AKU
AUTR-000171,古川真人,1,1,AKU
AUTR-000172,高山羽根子,1,1,AKU
AUTR-000173,遠野遥,1,1,AKU
AUTR-000174,宇佐見りん,1,1,AKU
AUTR-000175,石沢麻依,1,1,AKU
AUTR-000176,李琴峰,1,1,AKU
AUTR-000177,砂川文次,1,1,AKU
AUTR-000178,高瀬隼子,1,1,AKU
AUTR-000179,井戸川射子,1,1,AKU
AUTR-000180,佐藤厚志,1,1,AKU
AUTR-000181,市川沙央,1,1,AKU
AUTR-000182,九段理江,1,1,AKU
AUTR-000183,朝比奈秋,1,1,AKU
AUTR-000393,松永K,1,1,AKU
AUTR-000185,安堂ホセ,1,1,AKU
AUTR-000186,鈴木結生,1,1,AKU
AUTR-000394,鳥山まこと,1,1,AKU
AUTR-000395,畠山丑雄,1,1,AKU
AUTR-000527,倉知淳,1,1,HKM
AUTR-000528,乙一,1,1,HKM
AUTR-000529,笠井潔,2,1,HKM
AUTR-000531,牧薩次,1,1,HKM
AUTR-000532,三津田信三,1,1,HKM
AUTR-000533,城平京,1,1,HKM
AUTR-000534,大山誠一郎,1,1,HKM
AUTR-000535,森川智喜,1,1,HKM
AUTR-000536,鳥飼否宇,1,1,HKM
AUTR-000539,伊吹亜門,1,1,HKM
AUTR-000541,白井智之,1,1,HKM
AUTR-000542,逸木裕,1,1,HKM
AUTR-000396,リリー・フランキー,1,1,HON
AUTR-000401,東川篤哉,1,1,HON
AUTR-000402,百田尚樹,1,1,HON
AUTR-000403,和田竜,1,1,HON
AUTR-000404,上橋菜穂子,1,1,HON
AUTR-000405,宮下奈都,1,1,HON
AUTR-000406,瀬尾まいこ,1,1,HON
AUTR-000407,凪良ゆう,2,1,HON
AUTR-000408,町田そのこ,1,1,HON
AUTR-000409,逢坂冬馬,1,1,HON
AUTR-000410,宮島未奈,1,1,HON
AUTR-000411,阿部暁子,1,1,HON
AUTR-000485,大岡昇平,1,1,JRA
AUTR-000486,天藤真,1,1,JRA
AUTR-000487,檜山良昭,1,1,JRA
AUTR-000489,加納一朗,1,1,JRA
AUTR-000492,小杉健治,1,1,JRA
AUTR-000493,綾辻行人,1,1,JRA
AUTR-000494,中島らも,1,1,JRA
AUTR-000495,折原一,1,1,JRA
AUTR-000496,梅原克文,1,1,JRA
AUTR-000497,香納諒一,1,1,JRA
AUTR-000498,東直己,1,1,JRA
AUTR-000502,浅暮三文,1,1,JRA
AUTR-000506,戸松淳矩,1,1,JRA
AUTR-000508,柳広司,1,1,JRA
AUTR-000509,飴村行,1,1,JRA
AUTR-000512,山田宗樹,1,1,JRA
AUTR-000513,恒川光太郎,1,1,JRA
AUTR-000516,柚月裕子,1,1,JRA
AUTR-000517,宇佐美まこと,1,1,JRA
AUTR-000518,古処誠二,1,1,JRA
AUTR-000519,葉真中顕,1,1,JRA
AUTR-000520,坂上泉,1,1,JRA
AUTR-000523,芦沢央,1,1,JRA
AUTR-000525,荻堂顕,1,1,JRA
AUTR-000526,古泉迦十,1,1,JRA
AUTR-000570,堀晃,1,1,JSF
AUTR-000571,大友克洋,1,1,JSF
AUTR-000572,川又千秋,1,1,JSF
AUTR-000573,小松左京,1,1,JSF
AUTR-000574,かんべむさし,1,1,JSF
AUTR-000575,荒俣宏,1,1,JSF
AUTR-000576,横田順彌・會津信吾,1,1,JSF
AUTR-000577,椎名誠,1,1,JSF
AUTR-000578,梶尾真治,1,1,JSF
AUTR-000579,筒井康隆,1,1,JSF
AUTR-000580,柾悟郎,1,1,JSF
AUTR-000581,大原まり子,1,1,JSF
AUTR-000582,小谷真理,1,1,JSF
AUTR-000583,神林長平,1,1,JSF
AUTR-000584,金子修介,1,1,JSF
AUTR-000585,庵野秀明,1,1,JSF
AUTR-000586,瀬名秀明,1,1,JSF
AUTR-000587,新井素子,1,1,JSF
AUTR-000588,巽孝之,1,1,JSF
AUTR-000589,北野勇作,1,1,JSF
AUTR-000590,牧野修,1,1,JSF
AUTR-000591,押井守,1,1,JSF
AUTR-000592,飛浩隆,2,1,JSF
AUTR-000593,萩尾望都,1,1,JSF
AUTR-000594,最相葉月,1,1,JSF
AUTR-000595,磯光雄,1,1,JSF
AUTR-000596,伊藤計劃,1,1,JSF
AUTR-000597,長山靖生,1,1,JSF
AUTR-000598,上田早夕里,1,1,JSF
AUTR-000599,宮内悠介,1,1,JSF
AUTR-000600,酉島伝法,2,1,JSF
AUTR-000601,藤井太洋,1,1,JSF
AUTR-000602,長谷敏司,2,1,JSF
AUTR-000603,谷甲州,1,1,JSF
AUTR-000604,森岡浩之,1,1,JSF
AUTR-000605,白井弓子,1,1,JSF
AUTR-000606,山尾悠子,1,1,JSF
AUTR-000607,小川一水,1,1,JSF
AUTR-000608,林譲治,1,1,JSF
AUTR-000609,よしながふみ,1,1,JSF
AUTR-000610,荒巻義雄,1,1,JSF
AUTR-000611,小田雅久仁,1,1,JSF
AUTR-000612,市川春子,1,1,JSF
AUTR-000613,伊藤典夫,1,1,JSF
AUTR-000567,山口雅也,1,1,KMS
AUTR-000568,横山秀夫,2,1,KMS
AUTR-000569,平山夢明,1,1,KMS
AUTR-000188,鷲尾雨工,1,1,NAO
AUTR-000189,海音寺潮五郎,1,1,NAO
AUTR-000190,木々高太郎,1,1,NAO
AUTR-000191,井伏鱒二,1,1,NAO
AUTR-000192,橘外男,1,1,NAO
AUTR-000193,大池唯雄,1,1,NAO
AUTR-000194,河内仙介,1,1,NAO
AUTR-000195,堤千代,1,1,NAO
AUTR-000196,村上元三,1,1,NAO
AUTR-000197,神崎武雄,1,1,NAO
AUTR-000198,田岡典夫,1,1,NAO
AUTR-000199,森荘已池,1,1,NAO
AUTR-000200,岡田誠三,1,1,NAO
AUTR-000201,富田常雄,1,1,NAO
AUTR-000202,山田克郎,1,1,NAO
AUTR-000203,小山いと子,1,1,NAO
AUTR-000204,今日出海,1,1,NAO
AUTR-000205,檀一雄,1,1,NAO
AUTR-000207,久生十蘭,1,1,NAO
AUTR-000209,藤原審爾,1,1,NAO
AUTR-000210,立野信之,1,1,NAO
AUTR-000211,有馬頼義,1,1,NAO
AUTR-000212,戸川幸夫,1,1,NAO
AUTR-000213,梅崎春生,1,1,NAO
AUTR-000215,邱永漢,1,1,NAO
AUTR-000217,今官一,1,1,NAO
AUTR-000218,今東光,1,1,NAO
AUTR-000219,穂積驚勝,1,1,NAO
AUTR-000220,江崎誠致,1,1,NAO
AUTR-000221,榛葉英治,1,1,NAO
AUTR-000222,山崎豊子,1,1,NAO
AUTR-000225,渡邊喜恵子,1,1,NAO
AUTR-000227,戸板康二,1,1,NAO
AUTR-000230,寺内大吉,1,1,NAO
AUTR-000234,杉森久英,1,1,NAO
AUTR-000236,山口瞳,1,1,NAO
AUTR-000237,佐藤得二,1,1,NAO
AUTR-000238,和田芳恵,1,1,NAO
AUTR-000239,安藤鶴夫,1,1,NAO
AUTR-000241,安西篤子,1,1,NAO
AUTR-000242,藤井重夫,1,1,NAO
AUTR-000243,千葉治平,1,1,NAO
AUTR-000244,新橋遊吉,1,1,NAO
AUTR-000245,立原正秋,1,1,NAO
AUTR-000247,生島治郎,1,1,NAO
AUTR-000249,三好徹,1,1,NAO
AUTR-000252,佐藤愛子,1,1,NAO
AUTR-000255,豊田穣,1,1,NAO
AUTR-000256,綱淵謙錠,1,1,NAO
AUTR-000259,長部日出雄,1,1,NAO
AUTR-000260,藤本義一,1,1,NAO
AUTR-000261,井出孫六,1,1,NAO
AUTR-000263,佐木隆三,1,1,NAO
AUTR-000264,三好京三,1,1,NAO
AUTR-000266,色川武大,1,1,NAO
AUTR-000268,有明夏夫,1,1,NAO
AUTR-000269,田中小実昌,1,1,NAO
AUTR-000271,向田邦子,1,1,NAO
AUTR-000272,志茂田景樹,1,1,NAO
AUTR-000273,中村正軌,1,1,NAO
AUTR-000274,青島幸男,1,1,NAO
AUTR-000275,光岡明,1,1,NAO
AUTR-000276,つかこうへい,1,1,NAO
AUTR-000277,深田祐介,1,1,NAO
AUTR-000278,村松友視,1,1,NAO
AUTR-000280,神吉拓郎,1,1,NAO
AUTR-000282,難波利三,1,1,NAO
AUTR-000283,連城三紀彦,1,1,NAO
AUTR-000284,山口洋子,1,1,NAO
AUTR-000285,森田誠吾,1,1,NAO
AUTR-000288,常盤新平,1,1,NAO
AUTR-000291,山田詠美,1,1,NAO
AUTR-000292,阿部牧郎,1,1,NAO
AUTR-000293,西木正明,1,1,NAO
AUTR-000294,景山民夫,1,1,NAO
AUTR-000295,藤堂志津子,1,1,NAO
AUTR-000296,杉本章子,1,1,NAO
AUTR-000297,ねじめ正一,1,1,NAO
AUTR-000298,笹倉明,1,1,NAO
AUTR-000299,星川清司,1,1,NAO
AUTR-000302,古川薫,1,1,NAO
AUTR-000304,芦原すなお,1,1,NAO
AUTR-000305,高橋義夫,1,1,NAO
AUTR-000308,出久根達郎,1,1,NAO
AUTR-000311,佐藤雅美,1,1,NAO
AUTR-000313,中村彰彦,1,1,NAO
AUTR-000314,海老沢泰久,1,1,NAO
AUTR-000315,赤瀬川隼,1,1,NAO
AUTR-000318,乃南アサ,1,1,NAO
AUTR-000319,坂東眞砂子,1,1,NAO
AUTR-000322,車谷長吉,1,1,NAO
AUTR-000325,佐藤賢一,1,1,NAO
AUTR-000326,なかにし礼,1,1,NAO
AUTR-000328,金城一紀,1,1,NAO
AUTR-000329,山本文緒,1,1,NAO
AUTR-000332,唯川恵,1,1,NAO
AUTR-000333,山本一力,1,1,NAO
AUTR-000336,石田衣良,1,1,NAO
AUTR-000342,朱川湊人,1,1,NAO
AUTR-000344,森絵都,1,1,NAO
AUTR-000346,松井今朝子,1,1,NAO
AUTR-000348,井上荒野,1,1,NAO
AUTR-000349,山本兼一,1,1,NAO
AUTR-000351,北村薫,1,1,NAO
AUTR-000356,木内昇,1,1,NAO
AUTR-000358,葉室麟,1,1,NAO
AUTR-000360,安部龍太郎,1,1,NAO
AUTR-000362,桜木紫乃,1,1,NAO
AUTR-000363,姫野カオルコ,1,1,NAO
AUTR-000366,西加奈子,1,1,NAO
AUTR-000367,東山彰良,1,1,NAO
AUTR-000368,青山文平,1,1,NAO
AUTR-000371,佐藤正午,1,1,NAO
AUTR-000372,門井慶喜,1,1,NAO
AUTR-000373,島本理生,1,1,NAO
AUTR-000374,真藤順丈,1,1,NAO
AUTR-000375,大島真寿美,1,1,NAO
AUTR-000376,川越宗一,1,1,NAO
AUTR-000378,西條奈加,1,1,NAO
AUTR-000380,澤田瞳子,1,1,NAO
AUTR-000381,今村翔吾,1,1,NAO
AUTR-000385,千早茜,1,1,NAO
AUTR-000388,河﨑秋子,1,1,NAO
AUTR-000389,万城目学,1,1,NAO
AUTR-000390,一穂ミチ,1,1,NAO
AUTR-000391,伊与原新,1,1,NAO
AUTR-000392,嶋津輝,1,1,NAO
AUTR-000412,中島河太郎,1,1,RAN
AUTR-000413,早川書房,1,1,RAN
AUTR-000414,仁木悦子,1,1,RAN
AUTR-000415,新章文子,1,1,RAN
AUTR-000416,戸川昌子,1,1,RAN
AUTR-000417,佐賀潜,1,1,RAN
AUTR-000418,藤村正太,1,1,RAN
AUTR-000419,西東登,1,1,RAN
AUTR-000421,斎藤栄,1,1,RAN
AUTR-000422,海渡英祐,1,1,RAN
AUTR-000424,大谷羊太郎,1,1,RAN
AUTR-000426,小峰元,1,1,RAN
AUTR-000427,小林久三,1,1,RAN
