history_id,work_id,award_id,award_year,award_no,award_term,status,confidence,remarks
302,PLAM-000542,JRA,2008,61,H1,awarded,VERIFIED,
303,PLAM-000543,JRA,2009,62,H1,co_winner,VERIFIED,
304,PLAM-000544,JRA,2009,62,H1,co_winner,VERIFIED,
305,PLAM-000545,JRA,2010,63,H1,co_winner,VERIFIED,
306,PLAM-000546,JRA,2010,63,H1,co_winner,VERIFIED,
307,PLAM-000547,JRA,2011,64,H1,co_winner,VERIFIED,
308,PLAM-000548,JRA,2011,64,H1,co_winner,VERIFIED,
309,PLAM-000549,JRA,2012,65,H1,awarded,VERIFIED,
310,PLAM-000550,JRA,2013,66,H1,awarded,VERIFIED,
311,PLAM-000551,JRA,2014,67,H1,awarded,VERIFIED,
312,PLAM-000552,JRA,2015,68,H1,co_winner,VERIFIED,
313,PLAM-000553,JRA,2015,68,H1,co_winner,VERIFIED,
314,PLAM-000554,JRA,2016,69,H1,awarded,VERIFIED,
315,PLAM-000555,JRA,2017,70,H1,awarded,VERIFIED,
316,PLAM-000556,JRA,2018,71,H1,awarded,VERIFIED,
317,PLAM-000557,JRA,2019,72,H1,awarded,VERIFIED,
318,PLAM-000558,JRA,2020,73,H1,awarded,VERIFIED,
319,PLAM-000559,JRA,2021,74,H1,co_winner,VERIFIED,
320,PLAM-000560,JRA,2021,74,H1,co_winner,VERIFIED,
321,PLAM-000561,JRA,2022,75,H1,awarded,VERIFIED,
322,PLAM-000562,JRA,2023,76,H1,co_winner,VERIFIED,
323,PLAM-000563,JRA,2023,76,H1,co_winner,VERIFIED,
324,PLAM-000564,JRA,2024,77,H1,co_winner,VERIFIED,
325,PLAM-000565,JRA,2024,77,H1,co_winner,VERIFIED,
326,PLAM-000566,JRA,2025,78,H1,awarded,VERIFIED,
327,PLAM-000567,JRA,2026,79,H1,awarded,VERIFIED,
328,PLAM-000712,JSF,1980,1,H1,awarded,REVIEWED,
329,PLAM-000713,JSF,1981,2,H1,awarded,REVIEWED,
330,PLAM-000714,JSF,1982,3,H1,awarded,REVIEWED,
331,PLAM-000715,JSF,1983,4,H1,awarded,REVIEWED,漫画作品
332,PLAM-000716,JSF,1984,5,H1,awarded,REVIEWED,
333,PLAM-000717,JSF,1985,6,H1,awarded,REVIEWED,
334,PLAM-000718,JSF,1986,7,H1,awarded,REVIEWED,
335,PLAM-000719,JSF,1987,8,H1,awarded,REVIEWED,
336,PLAM-000720,JSF,1988,9,H1,co_winner,REVIEWED,
337,PLAM-000721,JSF,1988,9,H1,co_winner,REVIEWED,共著
338,PLAM-000722,JSF,1989,10,H1,awarded,REVIEWED,
339,PLAM-000723,JSF,1990,11,H1,awarded,REVIEWED,
340,PLAM-000724,JSF,1991,12,H1,awarded,REVIEWED,
341,PLAM-000725,JSF,1992,13,H1,awarded,REVIEWED,
342,PLAM-000726,JSF,1993,14,H1,awarded,REVIEWED,
343,PLAM-000727,JSF,1994,15,H1,co_winner,REVIEWED,
344,PLAM-000728,JSF,1994,15,H1,co_winner,REVIEWED,SF評論
345,PLAM-000729,JSF,1995,16,H1,awarded,REVIEWED,
346,PLAM-000730,JSF,1996,17,H1,awarded,REVIEWED,映画作品
347,PLAM-000731,JSF,1997,18,H1,co_winner,REVIEWED,
348,PLAM-000732,JSF,1997,18,H1,co_winner,REVIEWED,アニメ作品
349,PLAM-000733,JSF,1998,19,H1,awarded,REVIEWED,
350,PLAM-000734,JSF,1999,20,H1,awarded,REVIEWED,
351,PLAM-000735,JSF,2000,21,H1,awarded,REVIEWED,SF評論集（編著）
352,PLAM-000736,JSF,2001,22,H1,awarded,REVIEWED,
353,PLAM-000533,JSF,2002,23,H1,co_winner,REVIEWED,
354,PLAM-000737,JSF,2002,23,H1,co_winner,REVIEWED,
355,PLAM-000738,JSF,2003,24,H1,awarded,REVIEWED,
356,PLAM-000739,JSF,2004,25,H1,awarded,REVIEWED,アニメ映画作品
357,PLAM-000740,JSF,2005,26,H1,awarded,REVIEWED,
358,PLAM-000741,JSF,2006,27,H1,awarded,REVIEWED,漫画作品
359,PLAM-000742,JSF,2007,28,H1,awarded,REVIEWED,ノンフィクション・評伝
360,PLAM-000743,JSF,2008,29,H1,co_winner,REVIEWED,
361,PLAM-000744,JSF,2008,29,H1,co_winner,REVIEWED,アニメ作品
362,PLAM-000745,JSF,2009,30,H1,awarded,REVIEWED,
363,PLAM-000746,JSF,2010,31,H1,co_winner,REVIEWED,SF評論
364,PLAM-000747,JSF,2010,31,H1,co_winner,REVIEWED,
365,PLAM-000748,JSF,2011,32,H1,awarded,REVIEWED,
366,PLAM-000749,JSF,2012,33,H1,co_winner,REVIEWED,
367,PLAM-000750,JSF,2012,33,H1,co_winner,REVIEWED,
368,PLAM-000751,JSF,2013,34,H1,awarded,REVIEWED,
